,LOC,GEN.x,RKM.x,GenRKM.x,LAT,LON,Type,GEN.y,RKM.y,GenRKM.y,Route,Entrance_Exit,color,check,Route_v2
99,RioVistaBr2,RioVistaBr,97.911,97.91,38.158563,-121.683758,JSATS,RioVistaBr,97.911,97.91,Mainstem,Mainstem,orange,#f58231,Mainstem
100,RioVistaBr3,RioVistaBr,97.912,97.91,38.158994,-121.684739,JSATS,RioVistaBr,97.912,97.91,Mainstem,Mainstem,orange,#f58231,Mainstem
159,RioVistaBr1,RioVistaBr,97.91,97.91,38.156733,-121.67955,JSATS,RioVistaBr,97.91,97.91,Mainstem,Mainstem,orange,#f58231,Mainstem
109,SR_Mouth1,SR_Mouth,101.468,101.468,38.17303,-121.65331,JSATS,SR_Mouth,101.468,101.468,Mainstem,Mainstem,orange,#f58231,Mainstem
110,SR_Mouth2,SR_Mouth,101.467,101.468,38.17236,-121.65096,JSATS,SR_Mouth,101.467,101.468,Mainstem,Mainstem,orange,#f58231,Mainstem
14,BaseSutSteam1,BaseSutterSteam,111.834,111.833,38.18312,-121.65181,JSATS,BaseSutterSteam,111.834,111.833,Steamboat,exit,magenta,#ffe119,Sac. R. Sloughs
15,BaseSutSteam2,BaseSutterSteam,111.833,111.833,38.18331,-121.65601,JSATS,BaseSutterSteam,111.833,111.833,Steamboat,exit,magenta,#ffe119,Sac. R. Sloughs
84,Hwy84Ferry1,Hwy84Ferry,107.513,107.512,38.1901,-121.65765,JSATS,Hwy84Ferry,107.513,107.512,Miner,exit,orange,#ffe119,Sac. R. Sloughs
85,Hwy84Ferry2,Hwy84Ferry,107.512,107.512,38.19062,-121.66009,JSATS,Hwy84Ferry,107.512,107.512,Miner,exit,orange,#ffe119,Sac. R. Sloughs
96,MinerNorth1,MinerNorth,124.532,124.532,38.2873,-121.60845,JSATS,MinerNorth,124.532,124.532,Miner,enter,red,#ffe119,Sac. R. Sloughs
190,MinerNorth2,MinerNorth,124.533,124.532,38.28863,-121.60892,JSATS,MinerNorth,124.533,124.532,Miner,enter,red,#ffe119,Sac. R. Sloughs
97,MinorBlwSutter1,MinorBlwSutter,124.613,124.612,38.28386,-121.60406,JSATS,MinorBlwSutter,124.613,124.612,Sutter,exit,blueviolet,#ffe119,Sac. R. Sloughs
98,MinorBlwSutter2,MinorBlwSutter,124.612,124.612,38.28379,-121.60348,JSATS,MinorBlwSutter,124.612,124.612,Sutter,exit,blueviolet,#ffe119,Sac. R. Sloughs
111,Steam1,SteamboatSlough,128.393,128.394,38.30026,-121.58067,JSATS,SteamboatSlough,128.393,128.394,Steamboat,enter,magenta,#ffe119,Sac. R. Sloughs
112,Steam2,SteamboatSlough,128.394,128.394,38.29958,-121.58037,JSATS,SteamboatSlough,128.394,128.394,Steamboat,enter,magenta,#ffe119,Sac. R. Sloughs
113,SutterSl,SutterSlough,131.017,131.018,38.33225,-121.58294,JSATS,SutterSlough,131.017,131.018,Sutter,enter,blueviolet,#ffe119,Sac. R. Sloughs
114,SutterSl2,SutterSlough,131.018,131.018,38.33178,-121.58308,JSATS,SutterSlough,131.018,131.018,Sutter,enter,blueviolet,#ffe119,Sac. R. Sloughs
115,SutterSteamJ1,SutterSteamJunc,121.877,121.877,38.25163,-121.60279,JSATS,SutterSteamJunc,121.877,121.877,Steamboat,slough,magenta,#ffe119,Sac. R. Sloughs
185,SutterSteamJ2,SutterSteamJunc,121.876,121.877,38.25286,-121.60237,JSATS,SutterSteamJunc,121.876,121.877,Steamboat,slough,magenta,#ffe119,Sac. R. Sloughs
